MOVIE,YEAR,WATCHED,,,TOTAL WATCHED
CITIZEN KANE,1941,,,# of Movies,22
THE GODFATHER,1972,,,% of AFI Top 100,22%
CASABLANCA,1942,,,,
RAGING BULL,1980,,,,
SINGIN' IN THE RAIN,1952,,,,
GONE WITH THE WIND,1939,,,,
LAWRENCE OF ARABIA,1962,,,,
SCHINDLER'S LIST,1993,,,,
VERTIGO,1958,,,,
THE WIZARD OF OZ,1939,x,,,
CITY LIGHTS,1931,,,,
THE SEARCHERS,1956,,,,
STAR WARS,1977,x,,,
PSYCHO,1960,,,,
2001: A SPACE ODYSSEY,1968,,,,
SUNSET BLVD.,1950,,,,
THE GRADUATE,1967,,,,
THE GENERAL,1927,,,,
ON THE WATERFRONT,1954,,,,
IT'S A WONDERFUL LIFE,1946,x,,,
CHINATOWN,1974,,,,
SOME LIKE IT HOT,1959,,,,
THE GRAPES OF WRATH,1940,,,,
E.T. THE EXTRA-TERRESTRIAL,1982,x,,,
TO KILL A MOCKINGBIRD,1962,,,,
MR. SMITH GOES TO WASHINGTON,1939,,,,
HIGH NOON,1952,,,,
ALL ABOUT EVE,1950,,,,
DOUBLE INDEMNITY,1944,,,,
APOCALYPSE NOW,1979,,,,
THE MALTESE FALCON,1941,,,,
THE GODFATHER PART II,1974,,,,
ONE FLEW OVER THE CUCKOO'S NEST,1975,x,,,
SNOW WHITE AND THE SEVEN DWARFS,1937,x,,,
ANNIE HALL,1977,x,,,
THE BRIDGE ON THE RIVER KWAI,1957,,,,
THE BEST YEARS OF OUR LIVES,1946,,,,
THE TREASURE OF THE SIERRA MADRE,1948,,,,
DR. STRANGELOVE,1964,,,,
THE SOUND OF MUSIC,1965,,,,
KING KONG,1933,,,,
BONNIE AND CLYDE,1967,,,,
MIDNIGHT COWBOY,1969,,,,
THE PHILADELPHIA STORY,1940,,,,
SHANE,1953,,,,
IT HAPPENED ONE NIGHT,1934,,,,
A STREETCAR NAMED DESIRE,1951,,,,
REAR WINDOW,1954,,,,
INTOLERANCE,1916,,,,
THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,2001,x,,,
WEST SIDE STORY,1961,,,,
TAXI DRIVER,1976,x,,,
THE DEER HUNTER,1978,,,,
M*A*S*H,1970,,,,
NORTH BY NORTHWEST,1959,,,,
JAWS,1975,x,,,
ROCKY,1976,,,,
THE GOLD RUSH,1925,,,,
NASHVILLE,1975,,,,
DUCK SOUP,1933,,,,
SULLIVAN'S TRAVELS,1941,,,,
AMERICAN GRAFFITI,1973,,,,
CABARET,1972,,,,
NETWORK,1976,,,,
THE AFRICAN QUEEN,1951,,,,
RAIDERS OF THE LOST ARK,1981,x,,,
WHO'S AFRAID OF VIRGINIA WOOLF?,1966,,,,
UNFORGIVEN,1992,,,,
TOOTSIE,1982,,,,
A CLOCKWORK ORANGE,1971,x,,,
SAVING PRIVATE RYAN,1998,,,,
THE SHAWSHANK REDEMPTION,1994,x,,,
BUTCH CASSIDY AND THE SUNDANCE KID,1969,,,,
THE SILENCE OF THE LAMBS,1991,x,,,
IN THE HEAT OF THE NIGHT,1967,,,,
FORREST GUMP,1994,x,,,
ALL THE PRESIDENT'S MEN,1976,,,,
MODERN TIMES,1936,,,,
THE WILD BUNCH,1969,,,,
THE APARTMENT,1960,,,,
SPARTACUS,1960,,,,
SUNRISE,1927,,,,
TITANIC,1997,x,,,
EASY RIDER,1969,,,,
A NIGHT AT THE OPERA,1935,,,,
PLATOON,1986,,,,
12 ANGRY MEN,1957,,,,
BRINGING UP BABY,1938,,,,
THE SIXTH SENSE,1999,x,,,
SWING TIME,1936,,,,
SOPHIE'S CHOICE,1982,,,,
GOODFELLAS,1990,x,,,
THE FRENCH CONNECTION,1971,,,,
PULP FICTION,1994,x,,,
THE LAST PICTURE SHOW,1971,,,,
DO THE RIGHT THING,1989,x,,,
BLADE RUNNER,1982,x,,,
YANKEE DOODLE DANDY,1942,,,,
TOY STORY,1995,x,,,
BEN-HUR,1959,,,,